,LocationName,ChargerId,MinimumDesiredRangeInKWH,ActualArrival,ExpectedDeparture,Timestamp
0,Breda,1,60,2023-05-08T05:30:00Z,2023-05-08T15:00:00Z,2023-06-30 13:29:09.384480
1,Breda,2,50,2023-05-08T06:05:00Z,2023-05-08T14:00:00Z,2023-06-30 13:29:09.384480
2,Breda,2,50,2023-05-09T10:10:00Z,2023-05-09T14:00:00Z,2023-06-30 13:29:09.384480
3,Breda,1,40,2023-05-10T05:34:00Z,2023-05-10T10:00:00Z,2023-06-30 13:29:09.384480
4,Breda,4,150,2023-05-10T06:19:00Z,2023-05-10T10:00:00Z,2023-06-30 13:29:09.384480
5,Breda,3,30,2023-05-11T05:35:00Z,2023-05-11T15:00:00Z,2023-06-30 13:29:09.384480
6,Breda,3,60,2023-05-12T08:19:00Z,2023-05-12T14:00:00Z,2023-06-30 13:29:09.384480
7,Breda,2,35,2023-05-12T12:02:00Z,2023-05-12T15:02:00Z,2023-06-30 13:29:09.384480
8,Breda,1,20,2023-05-17T05:36:00Z,2023-05-17T15:00:00Z,2023-06-30 13:29:09.384480
9,Breda,3,55,2023-05-17T06:14:00Z,2023-05-17T14:00:00Z,2023-06-30 13:29:09.384480
10,Breda,3,55,2023-05-17T06:14:00Z,2023-05-17T14:00:00Z,2023-06-30 13:29:09.384480
11,Breda,3,55,2023-05-17T06:14:00Z,2023-05-17T14:00:00Z,2023-06-30 13:29:09.384480
12,Breda,1,55,2023-05-22T05:29:00Z,2023-05-22T15:00:00Z,2023-06-30 13:29:09.384480
13,Breda,1,55,2023-05-22T05:29:00Z,2023-05-22T15:00:00Z,2023-06-30 13:29:09.384480
14,Breda,2,70,2023-05-23T06:03:00Z,2023-05-23T14:00:00Z,2023-06-30 13:29:09.384480
15,Breda,1,100,2023-05-25T06:18:00Z,2023-05-25T10:00:00Z,2023-06-30 13:29:09.384480
16,Breda,1,18,2023-05-26T05:10:00Z,2023-05-26T10:00:00Z,2023-06-30 13:29:09.384480
17,Breda,2,60,2023-05-26T05:29:00Z,2023-05-26T14:00:00Z,2023-06-30 13:29:09.384480
18,Breda,3,25,2023-06-02T05:31:00Z,2023-06-02T13:00:00Z,2023-06-30 13:29:09.384480
19,Breda,1,50,2023-06-07T06:13:00Z,2023-06-07T14:00:00Z,2023-06-30 13:29:09.384480
20,Breda,1,30,2023-06-09T05:31:00Z,2023-06-09T15:00:00Z,2023-06-30 13:29:09.384480
21,Breda,1,20,2023-06-14T05:28:00Z,2023-06-14T14:00:00Z,2023-06-30 13:29:09.384480
22,Breda,3,50,2023-06-14T05:50:00Z,2023-06-14T14:00:00Z,2023-06-30 13:29:09.384480
23,Breda,2,60,2023-06-15T05:51:00Z,2023-06-15T14:00:00Z,2023-06-30 13:29:09.384480
24,Breda,2,60,2023-06-20T05:49:00Z,2023-06-20T14:04:00Z,2023-06-30 13:29:09.384480
25,Breda,1,50,2023-06-22T04:37:00Z,2023-06-22T15:00:00Z,2023-06-30 13:29:09.384480
26,Breda,3,60,2023-06-22T09:55:00Z,2023-06-22T14:00:00Z,2023-06-30 13:29:09.384480
27,Breda,1,35,2023-06-27T05:27:00Z,2023-06-27T15:00:00Z,2023-06-30 13:29:09.384480
28,Breda,1,35,2023-06-27T05:27:00Z,2023-06-27T15:00:00Z,2023-06-30 13:29:09.384480
29,Breda,4,50,2023-06-29T10:20:00Z,2023-06-29T14:15:00Z,2023-06-30 13:29:09.384480
30,Breda,2,60,2023-06-30T05:51:00Z,2023-06-30T11:00:00Z,2023-06-30 13:29:09.384480
